Source,Target
gastritis,vomiting
dehydration,vomiting
hypothyroidism,vomiting
hernia hiatal,vomiting
tricuspid valve insufficiency,vomiting
malignant tumor of colon,vomiting
thrombus,vomiting
chronic kidney failure,vomiting
tachycardia sinus,vomiting
hepatitis,vomiting
adhesion,vomiting
biliary calculus,vomiting
diverticulitis,vomiting
spasm bronchial,vomiting
ulcer peptic,vomiting
pyelonephritis,vomiting
pancreatitis,vomiting
cholelithiasis,vomiting
carcinoma colon,vomiting
mitral valve insufficiency,vomiting
colitis,vomiting
ketoacidosis diabetic,vomiting
bacteremia,vomiting
melanoma,vomiting
diabetes,vomiting
migraine disorders,vomiting
influenza,shortness of breath
hypercholesterolemia,shortness of breath
insufficiency renal,shortness of breath
hypothyroidism,shortness of breath
fibroid tumor,shortness of breath
chronic alcoholic intoxication,shortness of breath
asthma,shortness of breath
failure heart,shortness of breath
embolism pulmonary,shortness of breath
tricuspid valve insufficiency,shortness of breath
respiratory failure,shortness of breath
anemia,shortness of breath
chronic obstructive airway disease,shortness of breath
sickle cell anemia,shortness of breath
coronary arteriosclerosis,shortness of breath
thrombus,shortness of breath
chronic kidney failure,shortness of breath
myocardial infarction,shortness of breath
obesity,shortness of breath
tachycardia sinus,shortness of breath
failure kidney,shortness of breath
paroxysmal dyspnea,shortness of breath
pericardial effusion body substance,shortness of breath
adhesion,shortness of breath
endocarditis,shortness of breath
spasm bronchial,shortness of breath
primary carcinoma of the liver cells,shortness of breath
cardiomyopathy,shortness of breath
edema pulmonary,shortness of breath
mitral valve insufficiency,shortness of breath
peripheral vascular disease,shortness of breath
effusion pericardial,shortness of breath
failure heart congestive,shortness of breath
ischemia,shortness of breath
hypertension pulmonary,shortness of breath
deep vein thrombosis,shortness of breath
hyperlipidemia,shortness of breath
pneumonia,shortness of breath
stenosis aortic valve,shortness of breath
hypertensive disease,shortness of breath
bronchitis,shortness of breath
upper respiratory infection,shortness of breath
coronary heart disease,shortness of breath
carcinoma of lung,shortness of breath
arthritis,shortness of breath
malignant neoplasm of lung,shortness of breath
diabetes,shortness of breath
overload fluid,shortness of breath
transient ischemic attack,facial paresis
aphasia,facial paresis
thrombus,facial paresis
Alzheimer's disease,facial paresis
pericardial effusion body substance,facial paresis
accident cerebrovascular,facial paresis
hemiparesis,facial paresis
effusion pericardial,facial paresis
parkinson disease,facial paresis
dementia,facial paresis
gastritis,sore to touch
hernia hiatal,sore to touch
ileus,sore to touch
thrombus,sore to touch
gout,sore to touch
hyperglycemia,sore to touch
biliary calculus,sore to touch
cirrhosis,sore to touch
diverticulitis,sore to touch
osteomyelitis,sore to touch
pancreatitis,sore to touch
cholelithiasis,sore to touch
peripheral vascular disease,sore to touch
cellulitis,sore to touch
gastroenteritis,sore to touch
hernia,sore to touch
carcinoma,sore to touch
thrombus,hypertonicity
thrombus,hypoalbuminemia
bacteremia,hypoalbuminemia
